1;type;receiver_timestamp;sender_timestamp
536;D;135994125;135992909
537;D;135994445;135993069
538;D;135994765;135993229
539;D;135994061;135993389
540;D;135994381;135993549
541;D;135994509;135993709
542;D;135993997;135993869
543;D;135994317;135994029
544;D;135994637;135994189
545;D;135995149;135994349
546;D;135995309;135994509
547;D;135995469;135994669
548;D;135994893;135994829
549;D;135995213;135994989
550;D;135995533;135995149
551;D;135995853;135995309
552;D;135996173;135995469
553;D;135996493;135995629
554;D;135996813;135995789
555;!;;
556;D;135997069;135996429
557;D;135997389;135996589
558;D;135997709;135996749
559;D;135998029;135996909
560;D;135998349;135997069
561;D;135998669;135997229
562;D;135998989;135997389
563;D;135998829;135997549
564;D;135998509;135997709
565;D;135997901;135997869
566;D;135998221;135998029
567;D;135998541;135998189
568;D;135998861;135998349
569;D;135999309;135998509
570;D;135999469;135998669
571;D;135999629;135998829
572;D;135999117;135998989
573;D;135999437;135999149
574;D;135999757;135999309
575;D;136000077;135999469
576;D;136000397;135999629
577;D;136000717;135999789
578;D;136001037;135999949
579;D;136001357;136000109
580;D;136001677;136000269
581;D;136001997;136000429
582;D;136001293;136000589
583;D;136001613;136000749
584;D;136001933;136000909
585;D;136002253;136001069
586;D;136002573;136001229
587;D;136002893;136001389
588;D;136003213;136001549
589;D;136002509;136001709
590;D;136002829;136001869
591;D;136003149;136002029
592;D;136003469;136002189
593;D;136003149;136002349
594;D;136003085;136002509
595;D;136003405;136002669
596;D;136003725;136002829
597;D;136004045;136002989
598;D;136003341;136003149
599;D;136003661;136003309
600;D;136003981;136003469
601;D;136004301;136003629
602;D;136004621;136003789
603;D;136004941;136003949
604;D;136004237;136004109
605;D;136004557;136004269
606;D;136004877;136004429
607;D;136005197;136004589
608;D;136005517;136004749
609;D;136005837;136004909
610;D;136006157;136005069
611;D;136005453;136005229
612;D;136005773;136005389
613;D;136006093;136005549
614;D;136006413;136005709
615;D;136006733;136005869
616;D;136007053;136006029
617;D;136007373;136006189
618;D;136007693;136006349
619;D;136006989;136006509
620;D;136007309;136006669
621;D;136007629;136006829
622;D;136007949;136006989
623;D;136008269;136007149
624;D;136008429;136007309
625;D;136007885;136007469
626;D;136008205;136007629
627;D;136008525;136007789
628;D;136008845;136007949
629;!;;
630;D;136008141;136008109
631;D;136008461;136008269
632;D;136008781;136008429
633;D;136009101;136008589
634;D;136009421;136008749
635;D;136009741;136008909
636;D;136010061;136009069
637;D;136010381;136009229
638;D;136009677;136009389
639;D;136009997;136009549
640;D;136010317;136009709
641;D;136010637;136009869
642;D;136010957;136010029
643;D;136011277;136010189
644;D;136011597;136010349
645;D;136010893;136010509
646;D;136011213;136010669
647;D;136011533;136010829
648;D;136011853;136010989
649;D;136012173;136011149
650;D;136012493;136011309
651;D;136011789;136011469
652;D;136012109;136011629
653;D;136012589;136011789
654;D;136012749;136011949
655;D;136012909;136012109
656;D;136012365;136012269
657;D;136012685;136012429
658;D;136013005;136012589
659;D;136013325;136012749
660;D;136013229;136012909
661;D;136013389;136013069
662;D;136013549;136013229
663;D;136013581;136013389
664;D;136013901;136013549
665;D;136014221;136013709
666;D;136014541;136013869
667;D;136014829;136014029
668;D;136014989;136014189
669;D;136014797;136014509
670;D;136015117;136014669
671;D;136015437;136014829
672;D;136015757;136014989
673;D;136016077;136015149
